FULL_NAME,SSAN,AGE,GRADE,DEROS,ASSIGNED_PAS,HOME_ZIP_CODE,SUPV_NAME,DUTY_TITLE,DUTY_START_DATE,DAFSC,CAFSC,PAFSC,OFFICE_SYMBOL,DOR,DATE_ARRIVED_STATION,DUTY_PHONE,TAFMSD,DOE,DOS,ETS,HOME_ADDRESS,HOME_CITY,HOME_STATE,DATE_OF_BIRTH,PROJ_EVAL_CLOSE_DATE,MARITAL_STATUS,RNLTD,GAINING_PAS,LAST_EVAL_CLOSE_DATE,SUPV_BEGIN_DATE,HOME_PHONE_NUMBER
Casie Crunkhurn,535-57-0812,8,AMN,,OP1CFS14,23277,Kellina Monger,Account Executive,4/18/18,-3D152,,,SLK,2/27/10,11/3/16,804-446-3581,12/29/13,2/1/18,3/28/20,8/2/22,206 Dottie Place,Richmond,Virginia,2/26/62,,M,,,,8/27/07,916-151-2083
Trixi Jindra,566-53-4193,33,CMS,7/13/19,OP1CFR72,77346,Amalee Gorring,Associate Professor,8/28/16,-3D131,,,DOML,1/28/12,11/5/12,713-846-0832,9/24/99,8/9/18,1/11/20,5/9/21,7437 Parkside Street,Humble,Texas,6/21/69,,M,,,,10/28/15,412-494-2434
Jamil Pendleberry,707-82-2377,12,CMS,,OP1CFT2N,24014,Julie Pogg,Speech Pathologist,10/18/18,-3D131,,,IRDP,1/23/15,11/27/17,540-314-0984,2/9/11,5/19/18,5/18/21,7/1/22,4243 Derek Road,Roanoke,Virginia,9/25/84,,S,,,,6/23/14,310-737-9949
Julius Jansens,461-30-3767,26,CMS,6/13/20,OP1CF333,17105,Gennifer Hammer,Nuclear Power Engineer,7/20/18,-3D052,,,CSS,4/15/15,11/12/16,717-725-8698,5/12/04,10/31/18,8/6/19,3/1/19,6 Derek Circle,Harrisburg,Pennsylvania,12/19/84,,M,4/29/21,,,3/25/09,202-967-7464
Wiatt Leil,383-91-9516,25,SMS,5/14/20,OP1CF333,85030,Daron Jonke,Software Test Engineer I,3/8/17,-3S071,,,SLK,7/1/13,6/7/16,602-903-8809,8/31/01,1/15/18,5/21/25,2/10/25,3787 Stephen Place,Phoenix,Arizona,1/12/70,,M,,,,12/10/05,253-506-1040
Lita Bairnsfather,630-52-0211,37,MSG,8/19/20,OP1CF333,1129,Patricio Metham,Environmental Specialist,4/17/18,-3A151,,,SCXL,10/1/16,10/14/15,413-106-1100,9/27/04,11/1/18,7/14/20,8/2/23,229 Kenwood Parkway,Springfield,Massachusetts,6/8/68,,M,,,,6/26/10,810-602-1175
Rupert Cholonin,596-99-5883,5,SMS,,OP1CFT2N,99709,Mickie Beaston,VP Marketing,8/14/18,-3D152,,,TSD,4/28/15,4/3/13,907-651-3611,12/2/11,11/15/18,8/12/22,6/9/25,80375 Village Green Alley,Fairbanks,Alaska,9/22/97,,S,,,,9/15/10,917-423-1554
Dorise Steagall,544-73-7512,17,SMS,,OP1CFR72,40581,Vern Powelee,GIS Technical Architect,9/19/18,-3D052,,,CCC,10/21/06,12/19/14,859-548-7069,8/5/16,9/4/18,10/31/25,6/25/21,62 Ohio Road,Lexington,Kentucky,10/17/68,,S,,,,3/15/16,202-634-6178
Udale McTurk,371-25-0063,30,CMS,,OP1CFS14,46634,Libbi Rule,VP Quality Control,1/31/17,-3A151,,,DOML,6/11/17,5/31/12,574-440-2196,3/30/00,4/4/18,1/22/23,8/28/24,8843 Sachtjen Avenue,South Bend,Indiana,3/25/94,,S,,,,2/6/12,405-490-0060
Irvin Gieraths,640-83-5467,14,SRA,,OP1CFNY2,77095,Corrianne McPhee,Statistician II,10/1/18,-2T25,,,DOO,11/23/15,3/12/18,832-320-7722,8/12/04,4/29/18,6/29/20,4/27/23,84960 Fordem Court,Houston,Texas,10/19/91,,M,,,,4/25/11,502-275-1781
Nyssa Rotlauf,358-60-6528,14,SSG,4/9/22,OP1CFS14,95194,Robby Danilovitch,Biostatistician II,8/15/16,-3A151,,,SLK,6/19/08,2/19/12,408-845-8068,7/13/04,10/14/18,11/8/23,4/4/24,36 Trailsway Place,San Jose,California,8/1/84,,M,,,,12/14/14,806-944-6745
Kesley Jerdan,147-45-3797,25,A1C,,OP1CFT2N,6505,Valencia Burrells,Research Associate,7/22/18,-3D052,,,SCOO,1/28/14,4/2/18,203-702-8820,4/20/16,8/31/18,2/23/24,6/20/23,6 Garrison Point,New Haven,Connecticut,9/24/99,,S,,,,1/16/11,801-240-1756
Christabella Yonnie,194-24-2442,30,AMN,,OP1CFNY2,49006,Rahal Brosio,Quality Engineer,3/14/17,-3D190,,,SCOT,5/26/09,6/23/12,269-704-9421,5/8/06,6/21/18,5/6/24,4/6/25,28049 Carpenter Terrace,Kalamazoo,Michigan,7/17/74,,M,,,,2/21/08,316-167-4609
Barbi Teliga,868-25-4019,40,SSG,,OP1CFS14,78682,Rockwell Seel,Assistant Professor,3/9/16,-3D072,,,CCC,11/22/12,10/14/16,512-423-1957,7/11/11,7/1/18,6/25/20,2/25/20,9 Badeau Trail,Round Rock,Texas,12/10/59,,M,,,,6/10/12,404-735-4747
Al Figliovanni,173-21-1123,19,A1C,,OP1CFS14,84135,Roman Yetts,Software Engineer II,7/15/16,-3D052,,,SCXP,5/20/14,7/18/14,801-368-2609,3/21/16,2/19/18,7/2/21,7/3/24,0 Blaine Terrace,Salt Lake City,Utah,2/8/56,,M,11/7/19,,,11/22/16,813-269-7356
Trevor Miner,311-52-2840,7,A1C,,OP1CF333,78744,Lizette Iacopetti,Nurse Practicioner,2/19/17,-8H000,,,SCOK,6/18/11,1/3/18,361-678-2210,3/11/04,2/10/18,5/12/24,5/26/23,015 Derek Lane,Austin,Texas,3/12/53,,S,,,,2/24/13,317-865-6520
Eddi Housaman,877-89-3286,5,TSG,,OP1CFT2N,24503,Maybelle Ciotto,Physical Therapy Assistant,10/2/18,-1N051,,,CSS,10/6/10,7/30/13,434-487-0433,3/19/11,2/3/18,6/30/20,5/22/20,1971 Northridge Trail,Lynchburg,Virginia,2/19/60,,M,,,,7/30/10,217-493-2987
Pet Swallwell,119-45-0628,40,A1C,,OP1CFT2N,11054,Kerr Fontell,Executive Secretary,3/24/17,-1N271A,,,IMOC,4/14/13,4/6/15,516-463-2459,2/1/06,6/20/18,6/28/24,11/24/22,99 Kensington Way,Port Washington,New York,12/6/71,,S,,,,5/6/17,352-298-3349
Leora Savins,613-21-1658,38,SMS,,OP1CFT2N,70160,Raine Drache,Financial Analyst,2/24/18,-1N271A,,,STU,5/3/07,11/22/15,504-156-9382,10/13/04,11/29/18,9/29/19,10/10/21,9275 Onsgard Road,New Orleans,Louisiana,8/13/85,,M,12/29/20,,,10/9/13,812-884-6671
Merrily Krebs,484-73-0086,14,CMS,,OP1CFNY2,68110,Sibeal Kubal,Business Systems Development Analyst,3/28/18,-1N371H,,,CCC,9/25/11,5/26/18,402-865-3327,5/28/11,1/15/18,4/30/23,11/5/24,27335 Jackson Trail,Omaha,Nebraska,10/31/58,,M,,,,7/13/14,314-588-9392
Reba Millmoe,121-78-2929,14,A1C,,OP1CFT2N,91117,Patrica Bowell,Associate Professor,1/24/17,-3D133,,,SLK,6/29/15,11/28/16,626-782-4052,9/26/14,10/3/18,3/7/21,10/19/22,1407 Hollow Ridge Center,Pasadena,California,2/20/77,,S,12/15/20,,,4/16/12,910-441-0557
Reg Dudbridge,630-34-8546,39,SSG,11/7/22,OP1CFNY2,98424,Darrin Blazhevich,Automation Specialist IV,6/16/18,-1N131A,,,STU,10/6/18,6/24/18,206-280-4177,9/9/03,11/8/18,5/8/22,9/2/20,6390 Texas Lane,Tacoma,Washington,5/25/55,,M,,,,12/26/06,732-505-7666
Marlo Machan,744-58-7599,30,AMN,2/5/22,OP1CFT2N,60351,Jimmie Klimt,Speech Pathologist,3/17/17,-3D072,,,IMOC,4/4/11,11/24/15,309-567-3995,10/21/08,1/25/18,7/12/21,4/25/21,5 Gale Pass,Carol Stream,Illinois,2/8/79,,M,,,,8/6/13,618-732-2163
Merrili Prickett,647-84-1077,22,SMS,6/22/19,OP1CFT2N,35220,Maure Thorndycraft,Dental Hygienist,10/6/16,-1N051,,,DOO,7/15/11,2/22/18,205-414-4107,8/15/98,12/11/17,3/17/19,1/27/24,9458 Vernon Lane,Birmingham,Alabama,9/4/54,,M,,,,2/29/08,513-814-3601
Casie O' Dornan,571-71-6647,32,A1C,1/28/19,OP1CFS14,85215,Brandais Colaton,Staff Accountant IV,1/14/18,-1N271A,,,DOOE,5/7/10,11/14/13,602-954-1563,2/27/00,10/6/18,5/6/21,12/12/21,9 Mitchell Park,Mesa,Arizona,1/2/74,,M,,,,9/9/13,816-809-1278
Arne Grasser,802-90-7308,9,SRA,7/4/20,OP1CFNY2,7305,Willem Lydiard,Structural Engineer,2/11/17,-3D172,,,GSII,9/23/08,8/8/14,201-807-5693,12/14/02,12/19/17,10/15/25,3/21/25,63 Springview Hill,Jersey City,New Jersey,12/3/71,,M,,,,3/8/11,212-988-9971
Pincus Loutheane,499-61-9371,31,SMS,3/21/22,OP1CFR72,98166,Boothe Pena,Geological Engineer,5/1/18,-3D153,,,STU,6/26/17,10/19/15,253-877-7357,8/12/02,2/8/18,7/6/22,10/2/20,2959 Prairieview Park,Seattle,Washington,7/17/60,,M,11/27/21,,,11/13/06,202-371-0332
Madalyn Thing,630-98-8072,33,A1C,,OP1CF333,32277,Brena Ertel,GIS Technical Architect,8/13/17,-3D153,,,SCOO,10/31/16,2/24/17,904-514-6760,9/27/11,4/19/18,9/28/20,11/9/24,70567 Northfield Road,Jacksonville,Florida,6/1/65,,M,,,,6/7/11,805-918-7499
Myrtia Eaglen,655-89-1422,10,SMS,2/2/20,OP1CFT2N,16522,Harriette Fishlock,Human Resources Manager,10/20/17,-8H000,,,SCXP,8/15/12,4/15/16,814-284-0237,2/21/13,3/15/18,7/1/25,2/14/21,720 Manley Place,Erie,Pennsylvania,8/15/86,,S,,,,8/3/08,518-407-9043
Harold Lyddiard,312-96-3682,23,CMS,2/18/19,OP1CF333,61629,Glendon Courtney,Senior Quality Engineer,7/20/17,-1N371H,,,IN,10/23/12,7/29/17,309-697-8766,10/9/15,9/6/18,8/14/23,2/3/23,2 Marquette Circle,Peoria,Illinois,9/29/66,,M,,,,12/10/14,954-766-6495
Gunilla Renney,132-68-8757,13,MSG,,OP1CFNY2,95865,Seward Chelnam,Civil Engineer,6/15/16,-3D131,,,TSD,8/8/17,6/20/16,916-911-7921,10/30/10,4/29/18,8/7/21,12/14/24,4 Heath Street,Sacramento,California,10/6/91,,S,,,,8/9/06,503-527-2861
Christy Nisbet,690-65-6827,19,SRA,,OP1CFS14,37919,Dotty Dowry,Database Administrator II,6/9/16,-3D153,,,CCE,8/19/14,12/21/13,865-929-0541,9/18/13,3/2/18,1/14/25,6/14/24,74 Almo Point,Knoxville,Tennessee,7/18/65,,M,,,,9/29/12,402-356-6703
Rice Ferrucci,645-22-4036,35,TSG,4/16/21,OP1CFT2N,33153,Freeman Ruse,Financial Advisor,12/29/17,-3D133,,,CCE,3/16/12,8/28/13,786-474-9487,11/3/00,9/1/18,11/16/20,1/2/19,4 Mcbride Place,Miami,Florida,5/23/70,,M,8/5/21,,,7/25/18,253-147-9129
Parnell Gillimgham,521-17-2125,31,AMN,,OP1CFR72,65898,Adriena Wannop,Engineer II,7/2/17,-3D172,,,SCXP,2/5/15,11/28/17,417-305-7285,9/21/10,12/13/17,1/3/22,9/17/25,51 Myrtle Center,Springfield,Missouri,6/13/55,,S,5/1/20,,,4/28/12,515-280-7429
Annaliese Joselovitch,330-65-5924,38,AMN,4/15/21,OP1CFNY2,32128,Latrena Follet,Mechanical Systems Engineer,11/21/16,-1N471B,,,ART,7/31/10,2/10/18,386-406-0733,10/18/05,6/13/18,9/20/25,11/9/21,70 Welch Alley,Daytona Beach,Florida,7/31/54,,M,,,,1/28/14,651-609-0040
Glynnis Marchelli,513-10-3253,35,TSG,8/27/21,OP1CFT2N,53785,Wakefield Randall,Nuclear Power Engineer,7/13/16,-3D072,,,IMOC,4/4/06,11/2/17,608-156-6255,9/9/97,1/27/18,1/9/19,4/1/22,6478 Eliot Crossing,Madison,Wisconsin,11/24/79,,S,,,,1/14/12,530-859-0634
Gerald Currom,781-34-8079,5,TSG,,OP1CF333,29240,Ripley Wandrey,Electrical Engineer,4/21/17,-3D190,,,TSD,4/24/07,2/15/14,803-488-1171,11/30/01,1/10/18,5/11/25,8/26/25,02 Porter Circle,Columbia,South Carolina,12/10/75,,S,,,,4/7/09,330-197-8938
Leesa Tomini,659-85-2168,40,SSG,,OP1CFS14,88525,Sashenka Knottley,Electrical Engineer,12/27/16,-8H000,,,SGPF,4/5/12,10/13/17,915-714-5139,2/19/03,9/10/18,3/2/21,4/8/19,19 Troy Terrace,El Paso,Texas,11/15/96,,M,8/22/21,,,4/12/14,609-426-3861
Casar Bachura,553-28-9245,31,CMS,,OP1CFS14,77212,Towny MacConnal,Structural Analysis Engineer,2/6/17,-3D052,,,SGPF,8/5/13,8/28/17,713-358-5614,6/23/00,10/5/18,5/29/25,1/26/25,75388 Golf Course Court,Houston,Texas,4/24/97,,M,,,,3/29/11,816-203-9398
Jeannie Enos,658-03-2134,17,SRA,,OP1CFS14,22184,Ignatius Quartermain,Community Outreach Specialist,8/25/16,-3D172,,,CSS,5/5/16,1/20/15,571-191-1511,5/1/04,5/14/18,6/17/20,9/18/21,0503 Thompson Drive,Vienna,Virginia,1/20/97,,M,,,,9/5/09,303-553-5317
Wendy Kirkness,503-37-8451,40,CMS,,OP1CFT2N,22301,Liliane Furtado,Registered Nurse,9/5/18,-1N131A,,,STU,3/17/16,12/3/12,703-359-7576,6/18/14,7/18/18,11/26/19,6/17/25,245 Kensington Terrace,Alexandria,Virginia,8/25/81,,M,,,,9/20/08,772-737-2470
Brent Butland,328-95-7884,28,CMS,,OP1CFS14,11499,Danielle O'Crigane,Marketing Manager,3/14/16,-3D131,,,GS,10/6/06,5/6/17,212-108-0005,7/29/13,8/26/18,3/18/23,11/11/25,50 Orin Pass,Jamaica,New York,11/30/84,,M,10/8/20,,,5/30/18,361-758-2717
Lee Lodevick,564-47-7079,22,CMS,,OP1CFR72,95354,Ferrel Beeston,Web Designer I,1/13/18,-1N471B,,,IMOC,6/18/17,4/13/13,209-573-7361,8/26/08,8/26/18,8/6/22,2/19/23,91016 Lake View Point,Modesto,California,9/15/58,,M,,,,4/25/06,803-517-5911
Brendin Hexham,504-83-8709,23,TSG,2/5/19,OP1CFT2N,49518,Cchaddie Clemits,Actuary,11/5/16,-1N271A,,,CSS,11/8/14,4/24/18,616-961-3257,3/23/14,6/23/18,5/26/20,3/5/21,9360 Hansons Parkway,Grand Rapids,Michigan,8/24/85,,S,,,,1/20/15,919-548-3357
Vikky Seydlitz,347-30-1490,17,TSG,11/4/19,OP1CF333,16534,Lind Behnecke,Quality Engineer,10/30/16,-1N271A,,,SCOT,9/14/11,4/4/17,814-639-8835,9/21/98,12/25/17,8/1/21,10/23/22,56 Ilene Hill,Erie,Pennsylvania,4/19/83,,M,5/29/19,,,1/2/13,614-521-6140
Creighton Teffrey,827-64-3403,19,MSG,11/7/19,OP1CFS14,25711,Nonnah Over,Executive Secretary,4/5/18,-2T25,,,SCXP,4/7/07,6/4/15,304-663-6098,5/15/97,2/14/18,11/23/20,1/17/23,9745 Stuart Avenue,Huntington,West Virginia,5/24/53,,S,,,,7/29/07,330-195-2710
Roman Pechold,492-53-3275,14,MSG,,OP1CFT2N,23228,Hildagarde Minot,Sales Associate,9/4/16,-3D152,,,SLK,3/9/14,12/1/13,804-828-2994,7/29/05,9/4/18,7/2/19,1/20/24,1435 Schurz Place,Richmond,Virginia,6/8/70,,S,7/16/19,,,8/19/11,318-303-4704
Berk Rockliffe,432-24-6039,33,SRA,,OP1CFR72,77228,Katherina Belhomme,Associate Professor,4/11/17,-3D072,,,SCOO,12/30/05,1/5/16,713-831-7692,3/20/12,8/2/18,1/23/19,11/24/21,2 Debs Parkway,Houston,Texas,9/18/53,,M,,,,6/10/14,703-488-8402
Pat Bransdon,318-13-4026,39,SMS,,OP1CFT2N,53710,Janela Marquess,Sales Representative,11/24/16,-1N371H,,,IRDP,8/5/16,6/5/15,608-420-9449,12/9/04,1/24/18,1/12/22,12/27/19,2602 Lillian Pass,Madison,Wisconsin,2/25/86,,M,,,,12/25/09,810-465-1480
Lock Pughe,108-18-7408,36,TSG,,OP1CFR72,89436,Farand Fulleylove,Assistant Manager,5/21/16,-1N371H,,,DOA-F,6/18/18,1/18/16,775-322-9403,1/23/10,10/4/18,5/2/25,11/7/24,1717 Pleasure Parkway,Sparks,Nevada,6/11/78,,S,12/18/20,,,8/30/13,408-631-2910
Doralyn Troughton,357-08-1562,2,TSG,4/29/20,OP1CF333,19714,Wilburt Kindle,Associate Professor,9/15/16,-3S071,,,SCOI,5/16/12,11/3/16,302-495-7730,4/28/08,10/2/18,12/20/23,10/19/20,9 Bashford Street,Newark,Delaware,8/20/78,,M,,,,9/2/11,206-266-3634
Abdel Halling,500-81-2905,13,SMS,3/24/21,OP1CFR72,55412,Ringo Peres,Account Representative III,11/27/16,-3D131,,,IRDP,7/5/10,9/30/13,952-294-3040,9/11/15,11/24/18,2/1/25,7/3/22,958 Meadow Vale Road,Minneapolis,Minnesota,3/15/83,,S,,,,8/10/18,303-695-2670
Betsy Gathercoal,788-90-3918,15,MSG,,OP1CFR72,91109,Kerrill Byford,Safety Technician I,9/18/18,-3D131,,,DOA-F,6/28/11,12/14/12,626-558-2520,6/1/05,4/28/18,8/30/23,7/20/20,7017 6th Crossing,Pasadena,California,11/22/63,,M,,,,3/10/06,804-887-5008
Fairleigh Killock,244-56-5158,13,MSG,,OP1CFR72,37939,Culley Tullis,Electrical Engineer,2/26/16,-3D190,,,IMOC,1/19/09,10/30/14,865-901-3724,11/14/12,7/21/18,8/2/23,12/30/24,5014 Petterle Street,Knoxville,Tennessee,6/30/75,,S,10/11/21,,,5/20/15,719-396-9609
Nathanial Petrou,858-30-1323,28,TSG,4/28/19,OP1CF333,10039,Mord deKnevet,Marketing Manager,10/13/17,-3D153,,,DOA-F,3/2/08,8/5/12,917-205-7820,12/8/03,6/21/18,3/23/19,9/13/19,05201 Graedel Pass,New York City,New York,2/3/95,,M,,,,5/22/17,216-619-1162
Chadwick Chong,367-38-1829,14,MSG,9/8/20,OP1CFR72,19714,Leupold Goosnell,Physical Therapy Assistant,10/26/16,-3D052,,,DOA-F,12/2/15,1/16/16,302-572-0536,3/21/09,2/5/18,11/13/24,6/6/25,3442 Meadow Vale Circle,Newark,Delaware,9/18/60,,M,,,,5/14/06,915-480-3068
Vanna Gutherson,251-90-3040,6,AMN,,OP1CFS14,34981,Cass Jobb,Assistant Professor,2/18/17,-8H000,,,SLK,7/21/15,10/2/12,772-640-0168,12/19/03,11/12/18,8/30/22,1/4/21,3786 Harper Court,Fort Pierce,Florida,1/4/99,,M,7/16/19,,,2/8/06,918-485-4272
Constantina Setterington,555-84-0395,16,SSG,,OP1CFT2N,30301,Martguerita Goch,Web Designer III,7/1/17,-1N271A,,,SCOO,10/19/16,1/2/15,404-630-2543,4/14/99,6/7/18,6/24/25,5/24/23,27866 Clove Avenue,Atlanta,Georgia,2/15/85,,M,,,,2/24/07,303-648-6613
Gardie Lamb,205-55-8648,14,SRA,10/6/19,OP1CF333,2298,Poppy Bamforth,Developer III,10/31/16,-3D072,,,IRDP,1/10/08,10/3/17,617-280-9046,1/31/97,11/20/18,2/26/22,2/16/23,8 Truax Point,Boston,Massachusetts,2/1/78,,S,,,,3/26/12,678-546-3925
Quintina Pauwel,587-35-8318,39,SSG,,OP1CFNY2,78220,Egor Pochet,VP Sales,12/31/17,-3D152,,,IMOC,11/18/07,9/27/13,210-388-0468,6/27/14,9/6/18,1/1/21,9/9/21,6 Spenser Lane,San Antonio,Texas,1/17/54,,S,,,,11/6/09,309-617-8389
Edeline Malsher,427-80-8717,23,A1C,,OP1CFR72,50315,Rae Jagiela,Administrative Officer,2/3/16,-3S071,,,GSII,6/21/13,10/31/12,515-395-7665,7/30/97,2/10/18,2/6/22,6/10/24,73 Reindahl Crossing,Des Moines,Iowa,7/9/91,,M,,,,10/13/09,605-140-8868
Amargo Pellant,626-88-5580,2,SMS,,OP1CFNY2,46805,Brietta Stainson,Senior Editor,12/19/15,-1N371H,,,IMOC,7/3/13,12/13/13,260-430-9046,7/22/07,5/31/18,5/9/20,5/12/21,31697 Hudson Plaza,Fort Wayne,Indiana,1/22/83,,M,10/29/21,,,4/25/07,404-829-4055
Aretha Blakeslee,828-80-6862,6,TSG,6/23/22,OP1CFR72,96154,Christel Muslim,Mechanical Systems Engineer,4/10/16,-1N271A,,,DOO,3/4/15,4/27/16,530-760-5218,8/7/02,10/4/18,5/2/22,9/13/20,99 Cody Hill,South Lake Tahoe,California,9/6/86,,S,,,,2/18/12,407-977-8917
Anderea Vinnicombe,267-15-8217,11,TSG,,OP1CFS14,20910,Othilie Alven,Executive Secretary,6/16/18,-3D190,,,DOML,11/12/07,6/1/16,202-187-9325,8/7/98,8/8/18,1/21/21,5/10/24,11 Nelson Place,Silver Spring,Maryland,2/21/72,,M,,,,11/27/09,501-777-6211
Dora Playhill,374-88-1283,27,A1C,3/8/20,OP1CFT2N,21405,Cody Pickthall,Mechanical Systems Engineer,1/29/16,-3A151,,,DOO,6/4/09,1/28/14,443-473-7092,10/26/97,3/17/18,1/31/20,3/1/20,3712 Algoma Pass,Annapolis,Maryland,9/15/75,,S,,,,4/11/09,520-946-3919
Kenyon Prin,234-46-4841,1,TSG,,OP1CF333,33673,Lincoln Malter,Biostatistician III,3/8/18,-1N471B,,,CSS,9/6/11,5/29/12,813-384-1563,8/7/14,3/14/18,4/25/21,8/29/25,52 International Court,Tampa,Florida,4/23/72,,M,,,,10/29/13,215-189-5765
Agata Dreus,602-48-7568,35,CMS,,OP1CF333,99790,Dannie Whickman,Staff Accountant II,7/7/17,-3A151,,,IN,12/20/09,3/9/18,907-881-6490,5/6/97,2/27/18,12/22/22,5/31/20,149 Mayer Road,Fairbanks,Alaska,3/17/97,,S,,,,6/21/15,408-742-9084
Bryanty Penning,111-20-5834,16,CMS,,OP1CFT2N,19093,Worth Speddin,Compensation Analyst,2/13/16,-1N471B,,,DOA-F,4/23/07,6/1/15,215-761-4666,1/16/04,4/21/18,4/10/21,10/21/23,54942 Kedzie Trail,Philadelphia,Pennsylvania,10/24/65,,S,,,,3/13/06,540-292-5080
Morrie Romme,293-30-0981,12,TSG,,OP1CFR72,75367,Cash Mish,Computer Systems Analyst I,10/25/16,-3S071,,,IMOC,4/21/17,4/20/16,214-737-3424,3/31/08,3/7/18,10/16/23,9/29/22,0729 Lerdahl Parkway,Dallas,Texas,6/17/58,,M,,,,1/11/18,804-854-2788
Kirsten Gillions,755-49-6400,18,AMN,,OP1CFT2N,27150,Xymenes Baswall,Technical Writer,1/31/16,-1N271A,,,GS,10/20/15,5/10/16,336-363-7321,1/2/01,6/11/18,2/16/25,9/8/23,9029 Darwin Plaza,Winston Salem,North Carolina,1/3/55,,M,12/6/20,,,12/3/05,716-704-6042
Shay Blount,176-46-0933,39,SSG,,OP1CFR72,44197,Floris Rodriguez,Clinical Specialist,12/12/17,-1N371H,,,ART,5/12/17,1/23/14,216-643-3938,1/14/01,10/11/18,6/21/25,5/25/21,68 Roth Place,Cleveland,Ohio,8/26/62,,M,2/7/21,,,11/18/17,313-137-1253
Drusy Bortoletti,452-05-1510,35,SRA,5/20/22,OP1CFS14,88579,Coraline Bywater,Payment Adjustment Coordinator,2/8/17,-3D052,,,CSS,8/7/13,12/22/14,915-699-2593,6/19/11,10/23/18,7/8/20,4/17/22,39501 Charing Cross Court,El Paso,Texas,7/21/82,,M,,,,1/18/12,615-575-0105
